,Company,Amount
0,CREDITACC.NS,503360
0,INDIAMART.NS,593000
0,GNFC.NS,2084895
0,EXIDEIND.NS,1069780
0,MOTILALOFS.NS,279609
0,BSE.NS,1077270
0,ANGELONE.NS,2507550
0,INTELLECT.NS,3409008
0,BSOFT.NS,2001348
0,TV18BRDCST.NS,2557335
0,KIOCL.NS,28116
0,UTIAMC.NS,169248
0,VTL.NS,524216
0,ALOKINDS.NS,40548
0,GLENMARK.NS,2141964
0,BAJAJELEC.NS,396458
0,FINEORG.NS,1029180
0,JBCHEPHARM.NS,333826
0,APOLLOTYRE.NS,9468586
0,RATNAMANI.NS,265370
0,MEDPLUS.NS,502460
0,BRIGADE.NS,406848
0,AMBER.NS,173972
0,RADICO.NS,1168875
0,PVR.NS,2729886
0,CHOLAHLDNG.NS,14674
0,TTKPRESTIG.NS,196608
0,KEI.NS,38180
0,REDINGTON.NS,782644
0,CAMS.NS,171304
0,MAHABANK.NS,4588596
0,KIMS.NS,23280
0,HINDCOPPER.NS,3926044
0,IIFL.NS,1874806
0,HFCL.NS,15266680
0,CGCL.NS,47313
0,SJVN.NS,479328
0,VIPIND.NS,36080
0,LXCHEM.NS,344320
0,CHEMPLASTS.NS,2288128
0,ASAHIINDIA.NS,182372
0,METROPOLIS.NS,785610
0,LAXMIMACH.NS,58995
0,CYIENT.NS,17146719
0,JSL.NS,578337
0,GALAXYSURF.NS,90753
0,BLUESTARCO.NS,24660
0,BDL.NS,6626880
0,CESC.NS,184033
0,BALRAMCHIN.NS,505039
0,CASTROLIND.NS,112693
0,MASTEK.NS,6496
0,RHIM.NS,284590
0,ASTERDM.NS,16036
0,IDFC.NS,12979980
0,GRAPHITE.NS,1557080
0,QUESS.NS,4670800
0,KEC.NS,267430
0,ROUTE.NS,12439411
0,EIHOTEL.NS,876856
0,MANAPPURAM.NS,2591448
0,FINPIPE.NS,140448
0,ZYDUSWELL.NS,0
0,CENTURYTEX.NS,347116
0,CUB.NS,1257413
0,SAPPHIRE.NS,244804
0,BALAMINES.NS,3075702
0,ERIS.NS,0
0,VGUARD.NS,25092
0,SAREGAMA.NS,10410
0,SHYAMMETL.NS,123372
0,JSLHISAR.NS,2427572
0,AMARAJABAT.NS,800428
0,POLYMED.NS,20332
0,BIRLACORPN.NS,27330
0,ITI.NS,10900
0,WELSPUNIND.NS,282137
0,STLTECH.NS,314687
0,NETWORK18.NS,1003694
0,ELGIEQUIP.NS,1602958
0,DELTACORP.NS,885312
0,ALLCARGO.NS,2246390
0,FSL.NS,1190595
0,AKZOINDIA.NS,2225
0,NLCINDIA.NS,4078230
0,GODREJAGRO.NS,243124
0,LATENTVIEW.NS,2045095
0,FACT.NS,62640
0,SUZLON.NS,1346256
0,CANFINHOME.NS,4077696
0,NIITLTD.NS,2910762
0,ZENSARTECH.NS,1889657
0,ANURAS.NS,580940
0,MAPMYINDIA.NS,295372
0,EIDPARRY.NS,554260
0,ECLERX.NS,856856
0,KNRCON.NS,220215
0,VMART.NS,539070
0,SPARC.NS,69936
0,RBLBANK.NS,16884358
0,SONATSOFTW.NS,963270
0,MGL.NS,736725
0,SYMPHONY.NS,4133142
0,INDIGOPNTS.NS,368562
0,POLYPLEX.NS,480455
0,GRANULES.NS,2322404
0,RENUKA.NS,869876
0,BEML.NS,275997
0,BORORENEW.NS,106480
0,TRIVENI.NS,220514
0,TEAMLEASE.NS,332588
0,EASEMYTRIP.NS,2230150
0,IBULHSGFIN.NS,3030240
0,PRIVISCL.NS,14144
0,PRAJIND.NS,503982
0,MRPL.NS,37044
0,SUNCLAYLTD.NS,151520
0,AEGISCHEM.NS,152082
0,GREENPANEL.NS,510511
0,JUBLINGREA.NS,147420
0,SIS.NS,387984
0,PRINCEPIPE.NS,98452
0,TATAINVEST.NS,238610
0,RVNL.NS,1645488
0,ORIENTELEC.NS,14092
0,DEEPAKFERT.NS,1413120
0,SOBHA.NS,99009
0,GMMPFAUDLR.NS,882450
0,PNCINFRA.NS,505542
0,PGHL.NS,79475
0,MMTC.NS,66330
0,LUXIND.NS,97887
0,GUJALKALI.NS,226765
0,TCIEXP.NS,463140
0,HUDCO.NS,1616894
0,TRITURBINE.NS,164385
0,NBCC.NS,1205225
0,RAIN.NS,845676
0,MAHINDCIE.NS,4241884
