Page Industries,PAGEIND,cmp,fmp,price diff,per diff,Lot size,amount
Wipro,WIPRO,259,260.3,1.3,0.501930502,3000,777000
Inox Wind,INOXWIND,184.79,185.3,0.51,0.27598896,3225,595947.75
IRFC,IRFC,145.55,146.08,0.53,0.364136036,3525,513063.75
Samvardhana Motherson International,MOTHERSON,159.6,159.38,-0.22,-0.137844612,3550,566580
Indian Energy Exchange,IEX,193.28,193.5,0.22,0.113824503,3750,724800
NALCO,NATIONALUM,190,190.6,0.6,0.315789474,3750,712500
Steel Authority of India,SAIL,132.86,133.25,0.39,0.293542074,4000,531440
HFCL,HFCL,91.4,91.53,0.13,0.142231947,4150,379310
Union Bank of India,UNIONBANK,152.75,153.39,0.64,0.41898527,4425,675918.75
L&T Finance,LTF,190.5,190.82,0.32,0.167979003,4462,850011
SJVN,SJVN,103.2,103.69,0.49,0.474806202,4725,487620
Bank of India,BANKINDIA,124.06,124.29,0.23,0.185394164,4825,598589.5
Indian Oil Corporation,IOC,145.25,145.97,0.72,0.495697074,4875,708093.75
Federal Bank,FEDERALBNK,208.3,209.4,1.1,0.528084494,5000,1041500
Tata Steel,TATASTEEL,156.09,156.78,0.69,0.442052662,5500,858495
GMR Airports,GMRAIRPORT,84.48,84.71,0.23,0.272253788,5625,475200
NBCC,NBCC,124.44,125.01,0.57,0.458052073,5800,721752
NHPC,NHPC,90.03,90.15,0.12,0.133288904,6400,576192
Canara Bank,CANBK,117.24,117.4,0.16,0.136472194,6750,791370
IDFC First Bank,IDFCFIRSTB,71.31,71.6,0.29,0.406675081,7500,534825
Punjab National Bank,PNB,110.29,110.59,0.3,0.272010155,8000,882320
IRB Infrastructure Developers,IRB,52.16,52.24,0.08,0.153374233,10250,534640
NMDC,NMDC,73.91,74.22,0.31,0.419429035,13500,997785
Yes Bank,YESBANK,20.72,20.8,0.08,0.386100386,26000,538720
Vodafone Idea,IDEA,6.93,6.95,0.02,0.288600289,40000,277200
